country,telephoneCode 
France,33
Allemagne,49
Royaume Uni,44
Angleterre,44
Espagne,34
Italie,39
Suisse,41
Portugal,351
Pays-Bas,31
Belgique,32
Maroc,212
Tunisie,216
Algérie,213
Irlande,353
Martinique,(0)596
Guadeloupe,(0)590
Réunion,(0)262
Nouvelle Calédonie,687
Côte d'Ivoire,225
Mali,223
Danemark,45
Russie,7
Chine,86
Mexique,52
République Tchèque,420
Moldavie,373
Malte,356
Luxembourg,352
Bosnie,387
Biélorussie,375
Norvège,47
Bulgarie,359
Ukraine,380
Slovaquie,421
Autriche,43
Roumanie,40
Andorre,376
Grèce,30
Pologne,48
Slovénie,386
Australie,61
Serbie,381
Finlande,358
Chypre,357
Suède,46
Chili,56
Venezuela,58
Hongrie,36
Thailande,66
﻿Sri Lanka,94
Liechtenstein,423
Lettonie,371
Albanie,355
Islande,354
Pakistan,92
Israel,972
Canada,1
Syrie,963
Lituanie,370
Gibraltar,350
Etats-Unis,1
Croatie,385
Aurigny,441481
Turquie,90
Ile Maurice,230
Afrique du Sud,27
Angola,244
Ascension (Ile de),247
Benin,229
Botswana,267
Cuba,53
Burkina Faso,226
Burundi,257
Cameroun,237
Cap Vert,238
Comores,269
Congo (RDC),243
Congo (RPC),242
Djibouti,253
Egypte,20
Erythrée,291
Ethiopie,251
Gabon,241
Gambie,220
Ghana,233
Guinée,224
Guinée Bissau,245
Guinée Equatoriale,240
Kenya,254
Lesotho,266
Libye,218
Madagascar,261
Malawi,265
Mauritanie,222
Mayotte,269
Mozambique,258
Namibie,264
Niger,227
Nigeria,234
﻿Ouganda,256
République Centrafricaine,236
Rwanda,250
Sao Tomé et Principe,239
Sénégal,221
Seychelles,248
Sierra Leone,232
Somalie,252
Soudan,249
Swaziland,268
Tanzanie,255
Tchad,235
Togo,228
Zambie,260
Zimbabwe,263
Bahamas,1242
Bermudes,1441
Groenland,299
St Pierre et Miquelon,508
Groenland,299
Georgie,995
Corée du Sud,82
Corée du Nord,850
Cambodge,855
Brunei,673
Birmanie (Myanmar),95
Bhoutan,975
Bangladesh,880
Azerbaïdjan,994
Arménie,374
Afghanistan,93
Yemen,967
Qatar,974
Palestine,970
Oman,968
Liban,961
Koweit,965
Jordanie,962
Iran,98
Irak,964
Emirats Arabes Unis,971
Bahrein,973
Arabie Saoudite,966
Argentine,54
Bolivie,591
Brésil,55
Colombie,57
Equateur,593
Falklands (Malouines),500
Guyana,592
﻿Guyane Française,(0)594
Paraguay,595
Pérou,51
Surinam,597
Uruguay,598
Hong Kong,852
Inde,91
Indonésie,62
Japon,81
Kazakhstan,7
Laos,856
Macao,853
Malaisie,60
Maldives,960
Mongolie,976
Népal,977
Ouzbekistan,998
Philippines,63
Singapour,65
Tadjikistan,992
Taïwan,886
Turkmenistan,993
Vietnam,84
Estonie,372
Guernesey,441481
Herm,441481
Jersey,441534
Macédoine,389
Monaco,377
Saint Marin (Rép.),378
Sercq,441481
Vatican,39 -(0) 6
Iles Christmas,61
Iles Coco,61
Iles Cook,682
Iles Fidji,679
Kiribati,686
Iles Mariannes,1670
Iles Marshall,692
Micronésie,691
Nauru,674
Iles Norfolk,672
Nouvelle Zélande,64
Palau,680
Papouasie Nouvelle Guinée,675
Polynésie Française,689
Iles Salomon,677
Samoa occidental,685
Tonga,676
Tuvalu,688
﻿Kirghizistan,996
Vanuatu,678
Wallis et Futuna,681
Anguilla,1264
Antigua et Barbuda,1268
Aruba,297
Barbade,1246
Belize,501
Dominique,1767
Grenade,1473
Haïti,509
Iles Cayman,1345
Iles Vierges GB,1284
Iles Vierges USA,1340
Jamaïque,1876
Montserrat,1664
Porto Rico,1787
République Dominicaine,1809
Sainte Lucie,1758
St Kitts,1869
St Vincent et les Grenadines,1784
Trinidad et Tobago,1868
Turks et Caicos,1649
Bonaire,599-7
Costa Rica,506
Curaçao,599-9
Guatemala,502
Honduras,504
Nicaragua,505
Panama,507
El Salvador,503